ticker,year,quarter,close,date
AMZN,2018,3,1931.05,2018-07-01
AMZN,2018,4,1596.7166666666665,2018-10-01
AMZN,2019,1,1713.1033333333332,2019-01-01
AMZN,2019,2,1865.0733333333335,2019-04-01
AMZN,2019,3,1792.993333333333,2019-07-01
AMZN,2019,4,1808.4333333333334,2019-10-01
AMZN,2020,1,1947.3966666666668,2020-01-01
AMZN,2020,2,2558.396666666667,2020-04-01
AMZN,2020,3,3254.7899999999995,2020-07-01
AMZN,2020,4,3153.7066666666665,2020-10-01
AMZN,2021,1,3131.0699999999997,2021-01-01
AMZN,2021,2,3376.883333333333,2021-04-01
AMZN,2021,3,3361.14,2021-07-01
AMZN,2021,4,3404.6133333333332,2021-10-01
AMZN,2022,1,3107.56,2022-01-01
AMZN,2022,2,1665.3433333333332,2022-04-01
AMZN,2022,3,124.90666666666665,2022-07-01
AMZN,2022,4,94.32666666666667,2022-10-01
MSFT,2014,1,39.046666666666674,2014-01-01
MSFT,2014,2,41.01333333333333,2014-04-01
MSFT,2014,3,44.98333333333333,2014-07-01
MSFT,2014,4,47.07,2014-10-01
MSFT,2015,1,41.635,2015-01-01
MSFT,2015,2,46.550000000000004,2015-04-01
MSFT,2015,3,44.80666666666667,2015-07-01
MSFT,2015,4,54.156666666666666,2015-10-01
MSFT,2016,1,53.73333333333333,2016-01-01
MSFT,2016,2,51.346666666666664,2016-04-01
MSFT,2016,3,57.24666666666667,2016-07-01
MSFT,2016,4,60.77333333333333,2016-10-01
MSFT,2017,1,64.83,2017-01-01
MSFT,2017,2,69.07666666666667,2017-04-01
MSFT,2017,3,73.98666666666666,2017-07-01
MSFT,2017,4,84.29666666666667,2017-10-01
MSFT,2018,1,93.35000000000001,2018-01-01
MSFT,2018,2,96.99000000000001,2018-04-01
MSFT,2018,3,110.92666666666666,2018-07-01
MSFT,2018,4,106.42333333333333,2018-10-01
MSFT,2019,1,111.46666666666665,2019-01-01
MSFT,2019,2,129.41333333333333,2019-04-01
MSFT,2019,3,137.72,2019-07-01
MSFT,2019,4,150.81666666666666,2019-10-01
MSFT,2020,1,163.31666666666666,2020-01-01
MSFT,2020,2,188.65666666666667,2020-04-01
MSFT,2020,3,213.62333333333333,2020-07-01
MSFT,2020,4,212.98666666666668,2020-10-01
MSFT,2021,1,233.37,2021-01-01
MSFT,2021,2,257.58666666666664,2021-04-01
MSFT,2021,3,289.57,2021-07-01
MSFT,2021,4,332.8433333333333,2021-10-01
MSFT,2022,1,306.0266666666667,2022-01-01
MSFT,2022,2,268.74,2022-04-01
MSFT,2022,3,258.37,2022-07-01
MSFT,2022,4,242.36333333333332,2022-10-01
TSLA,2014,1,211.55666666666664,2014-01-01
TSLA,2014,2,218.57333333333335,2014-04-01
TSLA,2014,3,245.2266666666667,2014-07-01
TSLA,2014,4,236.21,2014-10-01
TSLA,2015,1,198.57000000000002,2015-01-01
TSLA,2015,2,248.37,2015-04-01
TSLA,2015,3,254.53666666666666,2015-07-01
TSLA,2015,4,225.73333333333335,2015-10-01
TSLA,2016,1,204.29999999999998,2016-01-01
TSLA,2016,2,225.42333333333332,2016-04-01
TSLA,2016,3,216.9433333333333,2016-07-01
TSLA,2016,4,200.2733333333333,2016-10-01
TSLA,2017,1,260.0733333333333,2017-01-01
TSLA,2017,2,338.8966666666667,2017-04-01
TSLA,2017,3,340.1566666666667,2017-07-01
TSLA,2017,4,317.24333333333334,2017-10-01
TSLA,2018,1,321.1666666666667,2018-01-01
TSLA,2018,2,307.1933333333333,2018-04-01
TSLA,2018,3,288.19,2018-07-01
TSLA,2018,4,340.2,2018-10-01
TSLA,2019,1,302.25333333333333,2019-01-01
TSLA,2019,2,215.76999999999998,2019-04-01
TSLA,2019,3,236.03,2019-07-01
TSLA,2019,4,354.3966666666667,2019-10-01
TSLA,2020,1,614.1866666666666,2020-01-01
TSLA,2020,2,898.8966666666666,2020-04-01
TSLA,2020,3,786.0300000000001,2020-07-01
TSLA,2020,4,553.77,2020-10-01
TSLA,2021,1,712.32,2021-01-01
TSLA,2021,2,671.4533333333334,2021-04-01
TSLA,2021,3,732.8000000000001,2021-07-01
TSLA,2021,4,1105.18,2021-10-01
TSLA,2022,1,961.5833333333334,2022-01-01
TSLA,2022,2,767.48,2022-04-01
TSLA,2022,3,477.43666666666667,2022-07-01
TSLA,2022,4,181.80666666666664,2022-10-01
